repository_name,owner_username,stars,repository_url
tensorflow,tensorflow,155000,https://gitub.com/tensorflow/tensorflow
system-design-primer,donnemartin,126000,https://gitub.com/donnemartin/system-design-primer
CS-Notes,CyC2018,126000,https://gitub.com/CyC2018/CS-Notes
Python,TheAlgorithms,102000,https://gitub.com/TheAlgorithms/Python
awesome-python,vinta,95800,https://gitub.com/vinta/awesome-python
free-programming-books-zh_CN,justjavac,78500,https://gitub.com/justjavac/free-programming-books-zh_CN
thefuck,nvbn,59800,https://gitub.com/nvbn/thefuck
django,django,56700,https://gitub.com/django/django
flask,pallets,54500,https://gitub.com/pallets/flask
keras,keras-team,51000,https://gitub.com/keras-team/keras
httpie,httpie,50400,https://gitub.com/httpie/httpie
ansible,ansible,47700,https://gitub.com/ansible/ansible
pytorch,pytorch,47500,https://gitub.com/pytorch/pytorch
project-based-learning,tuvtran,47200,https://gitub.com/tuvtran/project-based-learning
scikit-learn,scikit-learn,45200,https://gitub.com/scikit-learn/scikit-learn
requests,psf,45000,https://gitub.com/psf/requests
core,home-assistant,41900,https://gitub.com/home-assistant/core
leetcode,azl397985856,41300,https://gitub.com/azl397985856/leetcode
TensorFlow-Examples,aymericdamien,40400,https://gitub.com/aymericdamien/TensorFlow-Examples
scrapy,scrapy,40300,https://gitub.com/scrapy/scrapy
HelloGitHub,521xueweihan,40000,https://gitub.com/521xueweihan/HelloGitHub
face_recognition,ageitgey,39400,https://gitub.com/ageitgey/face_recognition
superset,apache,37500,https://gitub.com/apache/superset
manim,3b1b,32800,https://gitub.com/3b1b/manim
100-Days-Of-ML-Code,Avik-Jain,31900,https://gitub.com/Avik-Jain/100-Days-Of-ML-Code
fastapi,tiangolo,29500,https://gitub.com/tiangolo/fastapi
AiLearning,apachecn,29400,https://gitub.com/apachecn/AiLearning
spark,apache,29300,https://gitub.com/apache/spark
pandas,pandas-dev,29300,https://gitub.com/pandas-dev/pandas
PythonDataScienceHandbook,jakevdp,28800,https://gitub.com/jakevdp/PythonDataScienceHandbook
